senseval2.d000.s000.t000	1) the products of human creativity; works of art collectively.
senseval2.d002.s019.t006	4) excessively fastidious and easily disgusted
senseval2.d002.s019.t007	3) cause to seem less serious; play downThis definition best fits the context of the sentence, where the speaker is
senseval2.d002.s019.t009	3) a set of questions or exercises evaluating skill or knowledge.
senseval2.d002.s019.t010	3) in many cases or instances.This definition is the most suitable because "often" is used to indicate that the tests
senseval2.d002.s019.t012	1) a phenomenon that follows and is caused by some previous phenomenon.This definition of "results" fits the context of the
senseval2.d002.s020.t001	5) make a possibility or provide opportunity for; permit to be attainable or cause to remain.In the sentence, "
senseval2.d002.s020.t002	1) a person whose occupation is teaching.
senseval2.d002.s020.t003	2) an occupation requiring special education (especially in the liberal arts or sciences).
senseval2.d002.s020.t004	14) go successfully through a test or a selection process.In this sentence, "passed" means to have successfully completed a
senseval2.d002.s020.t005	1) education imparted in a series of lessons or meetings
senseval2.d002.s020.t006	1) relating to the process of education
senseval2.d002.s020.t008	1) relating to the process of education
senseval2.d002.s020.t009	2) the rational investigation of questions about existence and knowledge and ethics.
senseval2.d002.s021.t000	The most suitable dictionary definition for the meaning of "took" in the sentence is:1) carry outIn this context
senseval2.d002.s021.t002	1) education imparted in a series of lessons or meetings.
senseval2.d002.s021.t003	2) an institution of higher education created to educate and grant degrees; often a part of a university.In this sentence,
senseval2.d002.s021.t004	2) expect, believe, or supposeThe sentence "I myself took such courses in college, thinking I might end up
senseval2.d002.s022.t001	1) to a moderately sufficient extent or degree
senseval2.d002.s022.t002	2) to give an account or representation of in words.This definition of "described" matches the context of the sentence
senseval2.d002.s022.t003	1) worthless or oversimplified ideas
senseval2.d002.s022.t004	7) a part of a meal served at one time.
senseval2.d002.s023.t002	1) a person whose occupation is teaching
senseval2.d002.s023.t003	1) (often followed by `from') not alike; different in nature or quality
senseval2.d002.s023.t004	1) relating to the process of education
senseval2.d002.s023.t005	2) an organization founded and united for a specific purpose.This definition best fits the context of the sentence, as "the
senseval2.d002.s024.t000	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information aboutThis
senseval2.d002.s024.t004	2) to a severe or serious degree.The sentence is saying that the schoolteachers are committed to teaching in a serious and
senseval2.d002.s024.t005	1) bound or obligated, as under a pledge to a particular cause, action, or attitude.In the sentence, "
senseval2.d002.s024.t007	3) the activities of educating or instructing; activities that impart knowledge or skill.This definition encompasses the meaning of "te
senseval2.d002.s025.t000	1) (superlative of 'good') having the most positive qualities
senseval2.d002.s025.t001	3) characterized by quickness and ease in learning.In this sentence, "brightest" is being used to describe people
senseval2.d002.s025.t002	1) all the people living at the same time or of approximately the same age.This definition best fits the context of the
senseval2.d002.s025.t003	1) used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is
senseval2.d002.s025.t006	1) (plural) any group of human beings (men or women or children) collectively
senseval2.d002.s026.t000	1) the principal activity in your life that you do to earn money
senseval2.d002.s026.t001	4) (used for emphasis or as an intensifier) entirely or fully
senseval2.d002.s027.t000	1) recall knowledge from memory; have a recollectionThis definition best matches the meaning of "remember" in the given
senseval2.d002.s027.t001	3) with sincerity; without pretense.The word "truly" is an adverb that means "with sincerity;
senseval2.d002.s027.t003	1) a person whose occupation is teaching.
senseval2.d002.s028.t000	1) the activities of educating or instructing; activities that impart knowledge or skill
senseval2.d002.s028.t001	5) continue a certain state, condition, or activity.In the given sentence, "proceeded" is used in the
senseval2.d002.s028.t003	1) properly or sufficiently qualified or capable or efficient.
senseval2.d002.s029.t000	2) the meaning of a word or expression; the way in which a word or expression or situation can be interpreted.This
senseval2.d002.s029.t001	1) a person whose occupation is teaching.
senseval2.d002.s029.t002	3) consider or describe as similar, equal, or analogousThis definition best fits the context of the sentence, as it
senseval2.d002.s029.t003	2) a single person or thing.This definition is more suitable for the word "one" in the given sentence, as
senseval2.d002.s030.t000	2) having or marked by unusual and impressive intelligence.
senseval2.d002.s030.t001	2) easy to believe on the basis of available evidence.In this context, "probably" is used to indicate a degree
senseval2.d002.s031.t000	1) properly or sufficiently qualified or capable or efficient
senseval2.d002.s031.t002	The most suitable definition for the word "serves" in the given sentence is:8) promote, benefit, or be
senseval2.d002.s031.t003	4) (used for emphasis or as an intensifier) entirely or fullyIn the sentence "If he is competent and
senseval2.d002.s032.t000	1) a person whose occupation is teaching.This definition directly corresponds to the meaning of "teachers" in the given sentence,
senseval2.d002.s032.t001	3) of extreme importance; vital to the resolution of a crisis.This definition captures the meaning of "important" in the
senseval2.d002.s032.t002	1) anything that contributes causally to a resultThis definition is the most suitable for the sentence "Our teachers are not
senseval2.d002.s032.t003	1) relating to the process of education.This definition captures the meaning of "educational" in the context of the sentence
senseval2.d002.s032.t004	1) an unstable situation of extreme danger or difficulty.This definition best fits the context of the sentence, as the sentence is
senseval2.d002.s033.t000	1) a state of difficulty that needs to be resolved.
senseval2.d002.s033.t001	3) conformity with rules or standards.In the given sentence, "equity" refers to fairness or justice, which is
senseval2.d002.s033.t002	1) relating to the process of education
senseval2.d002.s033.t003	1) a state of difficulty that needs to be resolved.
senseval2.d002.s034.t002	1) a person whose occupation is teaching
senseval2.d002.s034.t003	2) expect, believe, or supposeIn the sentence, "think" is used to mean to believe or suppose that
senseval2.d002.s034.t004	2) create by training and teaching
senseval2.d002.s034.t005	2) a human offspring (son or daughter) of any age.In this context, "children" refers to the young
senseval2.d002.s034.t006	1) comparative of `well'; in a better or more excellent manner or more advantageously or attractively or to a greater
senseval2.d002.s034.t008	1) come into the possession of something concrete or abstract
senseval2.d002.s034.t010	1) a period of time containing 365 (or 366) days.
senseval2.d002.s034.t011	2) comparative of much; to a greater degree or extent.In the given sentence, "more" is used to indicate
senseval2.d002.s035.t002	1) a person whose occupation is teaching.
senseval2.d002.s035.t003	1) an organization of employees formed to bargain with the employer.
senseval2.d002.s035.t004	6) keep in mind
senseval2.d002.s035.t005	5) cause to become widely known
senseval2.d002.s035.t007	2) limited in size or scope.In the context of the sentence, "narrow" is used to describe the teachers
senseval2.d002.s035.t008	3) the quality of being determined to do or achieve something; firmness of purpose.This definition best fits the context of
senseval2.d002.s036.t003	2) a person active in party politics.
senseval2.d002.s036.t004	The most suitable dictionary definition for the word "find" in the given sentence is:1) come upon, as if by
senseval2.d002.s036.t006	1) give help or assistance; be of service
senseval2.d002.s036.t007	The most suitable dictionary definition which identifies the meaning of "strike" in the given sentence is:21) arrive at after reck
senseval2.d002.s036.t008	2) inclined to help or support; not antagonistic or hostile.This definition of "friendly" best fits the context of
senseval2.d002.s036.t009	2) characteristic way of bearing one's body
senseval2.d002.s036.t010	1) as the agent of or on someone's part (usually expressed as  rather than )
senseval2.d002.s036.t011	1) of great significance or value
senseval2.d002.s037.t000	1) a tiny or scarcely detectable amount.
senseval2.d002.s037.t001	3) (law) all the means by which any alleged matter of fact whose truth is investigated at judicial trial is established or
senseval2.d002.s037.t002	1) not the same one or ones already mentioned or implied; - the White QueenThis definition is the most suitable for
senseval2.d002.s037.t003	12) a separate and self-contained entity
senseval2.d002.s037.t004	1) having the same quantity, value, or measure as another
senseval2.d002.s037.t006	2) a quality that differentiates between similar things.In this sentence, "differentials" refers to the differences or
senseval2.d002.s037.t007	3) come about or follow as a consequenceThis definition best captures the meaning of "result" in the given sentence,
senseval2.d002.s037.t008	1) relating to the process of education
senseval2.d002.s037.t009	2) a quality that differentiates between similar things.In this context, "differentials" refers to the differences or
senseval2.d002.s038.t001	3) (law) all the means by which any alleged matter of fact whose truth is investigated at judicial trial is established or
senseval2.d002.s038.t002	1) having or feeling no doubt or uncertainty; confident and assured.
senseval2.d002.s039.t000	1) hope for; have a wish
senseval2.d002.s039.t001	1) concerned with work or important matters rather than play or trivialities
senseval2.d002.s039.t002	1) of or relating to the United States of America or its people or language or culture
senseval2.d002.s039.t003	1) the activities of educating or instructing; activities that impart knowledge or skillThis definition is the most suitable because the
senseval2.d002.s039.t004	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information aboutThis
senseval2.d002.s039.t005	1) indicating exactness or preciseness
senseval2.d002.s039.t006	2) indicating exactness or preciseness.
senseval2.d002.s039.t007	1) of great significance or value
senseval2.d002.s040.t002	1) an educational institution
senseval2.d002.s040.t003	1) occurring or distributed over widely spaced and irregular intervals in time or space.In this sentence, "scattered" is
senseval2.d002.s040.t005	2) having little money or few possessions.This definition is the most suitable because the sentence describes the ghettos as the
senseval2.d002.s040.t006	2) closely similar or comparable in kind or quality or quantity or degree.This definition is most suitable because the sentence is describing
senseval2.d002.s041.t001	2) (elections) more than half of the votes.This definition refers to a majority as a numerical majority, specifically
senseval2.d002.s041.t003	1) an educational institution
senseval2.d002.s041.t004	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
senseval2.d002.s041.t005	4) a series of actions advancing a principle or tending toward a particular end.In this sentence, "efforts"
senseval2.d002.s041.t006	1) relating to the process of education
senseval2.d002.s041.t007	1) a change for the better as a result of correcting abusesThis definition best fits the context of the sentence, as
senseval2.d002.s041.t008	1) marked for certain death
senseval2.d002.s042.t000	3) in fact (used as intensifiers or sentence modifiers).
senseval2.d002.s042.t001	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
senseval2.d002.s042.t002	3) have or feel a need for
senseval2.d002.s042.t003	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information aboutThis
senseval2.d002.s042.t005	1) take up mentallyThis definition fits the context of the sentence, as "assimilate" means to incorporate or
senseval2.d002.s043.t000	2) the condition of being honored (esteemed or respected or well regarded)In this sentence, the word "respect"
senseval2.d002.s043.t004	1) expressed without speech;
senseval2.d002.s043.t005	4) to a degree (not used with a negative)In this context, "rather" is used to indicate that being
senseval2.d002.s043.t007	1) feeling or showing worry or solicitude.
senseval2.d002.s044.t001	1) (often followed by 'to') having a preference, disposition, or tendency
senseval2.d002.s044.t002	1) to say again or imitate
senseval2.d002.s044.t003	6) in accord with or being a tradition or practice accepted from the past.This definition of "conventional" aligns
senseval2.d002.s044.t004	1) worthless or oversimplified ideas.
senseval2.d002.s045.t000	1) (used to introduce a logical conclusion) from that fact or reason or as a result
senseval2.d002.s045.t001	2) of the immediate past or just previous to the present time.
senseval2.d002.s045.t002	1) the head of a state government
senseval2.d002.s045.t003	1) a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
senseval2.d002.s045.t004	1) the activities of educating or instructing; activities that impart knowledge or skill
senseval2.d002.s045.t005	1) make known; make an announcement
senseval2.d002.s045.t006	1) a politically organized body of people under a single government.
senseval2.d002.s045.t007	3) have or feel a need forThe word "needs" in the sentence is in the sense of "require as
senseval2.d002.s045.t009	2) a line of argument rationalizing the course of action of a government.In this context, the term "policy"
senseval2.d002.s045.t010	1) a young person of either sex
senseval2.d002.s046.t001	1) act of improving by expanding or enlarging or refining.This definition is the most suitable for the context of the sentence
senseval2.d002.s046.t002	2) a line of argument rationalizing the course of action of a government.This definition best matches the context of the sentence
senseval2.d002.s046.t003	1) the head of a state government.In the sentence, the context suggests that the policy is intended for individuals who have
senseval2.d002.s046.t004	2) seem to be true, probable, or apparentIn this sentence, "seem" is used to indicate that
senseval2.d002.s046.t005	2) comparative of much; to a greater degree or extent.In this sentence, "more" is used to indicate a
senseval2.d002.s046.t007	2) anything that is necessary but lackingThis definition best fits the context of the sentence, as the sentence is stating that
senseval2.d002.s047.t002	2) stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain
senseval2.d002.s047.t003	1) relating to the process of education
senseval2.d002.s047.t004	2) a group of independent but interrelated elements comprising a unified whole.This definition best fits the context of the sentence,
senseval2.d002.s048.t000	1) worth having or seeking or achieving
senseval2.d002.s048.t002	1) a series of steps to be carried out or goals to be accomplished
senseval2.d002.s048.t003	1) relating to the process of education.This definition fits the context of the sentence, as it implies that the program is
senseval2.d002.s048.t004	1) a series of steps to be carried out or goals to be accomplished
senseval2.d002.s049.t000	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
senseval2.d002.s049.t001	2) precisely so
senseval2.d002.s049.t002	1) at or near the beginning of a period of time or course of events or before the usual or expected time.This
senseval2.d002.s049.t003	2) the act of subjecting someone to an influencing experienceThis definition best matches the meaning of "exposure" in
senseval2.d002.s049.t004	2) the process of being formally educated at a school.
senseval2.d002.s049.t005	1) to make better
senseval2.d002.s049.t006	3) the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it.
senseval2.d002.s049.t007	2) indicating the beginning unit in a series.In this sentence, "first" refers to the first grade, which is
senseval2.d002.s049.t008	6) a number or letter indicating quality (especially of a student's performance)
senseval2.d002.s049.t010	1) the quality of being unlike or dissimilarThis definition captures the meaning of "difference" as the state of being
senseval2.d002.s049.t011	2) with little or no delay.The sentence suggests that the effect of early schooling is short-lived, and its benefits are
senseval2.d002.s049.t013	2) remove by the application of water or other liquid and soap or some other cleaning agent.This definition of "washed
senseval2.d002.s050.t000	1) give a summary (of)The sentence is saying "Let us give a summary of what we know about education and
senseval2.d002.s050.t001	1) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
senseval2.d002.s050.t002	1) the activities of educating or instructing; activities that impart knowledge or skill
senseval2.d002.s050.t003	1) the activities of educating or instructing; activities that impart knowledge or skill
senseval2.d002.s050.t004	1) a change for the better as a result of correcting abusesThis definition most accurately captures the meaning of "reforms
senseval2.d002.s050.t005	1) exert oneself by doing mental or physical work for a purpose or out of necessity
senseval2.d002.s050.t006	1) exert oneself by doing mental or physical work for a purpose or out of necessity
senseval2.d002.s050.t007	2) relating to or characteristic of or befitting a parent.The word "parental" refers to something related to
senseval2.d002.s050.t008	3) a sense of concern with and curiosity about someone or something.In the given sentence, "involvement" refers
senseval2.d002.s050.t009	1) having undesirable or negative qualities
senseval2.d002.s050.t010	1) the content of cognition; the main thing you are thinking about.
senseval2.d002.s051.t000	1) a father or mother; one who begets or one who gives birth to or nurtures and raises a child;
senseval2.d002.s051.t001	1) to a degree exceeding normal or proper limits.In this sentence, "too" is used to indicate that the likelihood
senseval2.d002.s051.t002	1) has a good chance of being the case or of coming about.This definition best fits the context of the sentence,
senseval2.d002.s051.t003	3) attribute responsibility toThis definition of "blame" best matches the sentence, as it implies assigning or giving credit
senseval2.d002.s051.t004	1) an educational institution
senseval2.d002.s051.t005	1) relating to the process of education
senseval2.d002.s051.t006	2) the quality of being limited or restricted.In this sentence, "limitations" refers to the limitations or restrictions that exist
senseval2.d002.s051.t007	2) a human offspring (son or daughter) of any age.This definition is the most suitable because in the given sentence
senseval2.d002.s052.t000	1) a father or mother; one who begets or one who gives birth to or nurtures and raises a child;
senseval2.d002.s052.t001	3) emotionally involvedIn this context, "involved" means having a personal stake or emotional connection to something, such
senseval2.d002.s052.t002	2) a human offspring (son or daughter) of any age.
senseval2.d002.s052.t003	1) the activities of educating or instructing; activities that impart knowledge or skillThis definition best captures the meaning of "
senseval2.d002.s052.t004	7) an environment offering affection and security.This definition of "home" is the most suitable for the context of the sentence
senseval2.d002.s053.t000	9) find out, learn, or determine with certainty, usually by making an inquiry or other effort.This definition best fits
senseval2.d002.s053.t001	1) a young person of either sex
senseval2.d002.s053.t002	5) be at play; be engaged in playful activity; amuse oneself in a way characteristic of children
senseval2.d002.s053.t006	2) a human offspring (son or daughter) of any age.This definition best fits the context of the sentence, as
senseval2.d002.s053.t007	1) pass time in a specific wayThis definition is the most suitable for the context of the sentence, as "sp
senseval2.d002.s053.t009	2) a period of time considered as a resource under your control and sufficient to accomplish something.This definition best captures the meaning
senseval2.d002.s053.t011	2) examine carefully for accuracy with the intent of verification
senseval2.d002.s054.t000	1) a father or mother; one who begets or one who gives birth to or nurtures and raises a child;
senseval2.d002.s054.t002	2) one of a number of things from which only one can be chosen.This definition is the most suitable because in the
senseval2.d002.s054.t003	4) make a shift in or exchange of
senseval2.d002.s055.t000	1) a group of people living in a particular local area
senseval2.d002.s055.t001	1) the act of sharing in the activities of a group.
senseval2.d002.s055.t002	3) to a greater degree or extent; used with comparisons
senseval2.d002.s055.t003	1) (comparative of `bad') inferior to another in quality or condition or desirability
senseval2.d002.s055.t004	1) the content of cognition; the main thing you are thinking about
senseval2.d002.s056.t000	1) in or at this place; where the speaker or writer is
senseval2.d002.s057.t000	1) by a particular locality
senseval2.d002.s057.t003	1) to a distinctly greater extent or degree than is common.
senseval2.d002.s057.t005	1) a large and densely populated urban area; may include several independent administrative districts
senseval2.d002.s057.t006	2) undergo a change or development.
senseval2.d002.s057.t007	1) having a strong desire for success or achievement
senseval2.d002.s057.t008	2) without distinction of one from others.This definition best captures the meaning of "generally" in the given sentence,
senseval2.d002.s057.t009	2) not straight; dishonest or immoral or evasive
senseval2.d002.s057.t012	2) of or belonging to or characteristic of a particular locality or neighborhood.The word "local" in this sentence refers to
senseval2.d002.s057.t013	2) a person active in party politics.This definition best fits the context of the sentence, as it refers to individuals who
senseval2.d002.s057.t015	2) a person active in party politics.This definition captures the meaning of "politicians" as individuals involved in the process
senseval2.d002.s058.t000	1) a particular course of action intended to achieve a result.
senseval2.d002.s058.t001	1) make an effort or attempt.In this sentence, "trying" means making an effort or attempting to disengage from
senseval2.d002.s058.t002	2) a group of independent but interrelated elements comprising a unified whole.This definition fits the context of the sentence, as
senseval2.d002.s058.t003	1) an educational institution
senseval2.d002.s058.t004	1) the persons (or committees or departments etc.) who make up a body for the purpose of administering something.This definition
senseval2.d002.s058.t005	2) in spite of; notwithstandingThe word "even" is being used to indicate that something is happening despite the fact
senseval2.d002.s058.t006	4) very unusual; different in character or quality from the normal or expected; - Lance MorrowThis definition is the most
senseval2.d002.s058.t007	1) a large and densely populated urban area; may include several independent administrative districts
senseval2.d002.s058.t008	1) set up or lay the groundwork forThis definition best fits the context of the sentence, as "institute"
senseval2.d002.s059.t000	1) (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the
senseval2.d002.s059.t002	1) money paid out; an amount spent
senseval2.d002.s059.t003	1) the activities of educating or instructing; activities that impart knowledge or skill.
senseval2.d002.s059.t005	2) the set of facts or circumstances that surround a situation or event.
senseval2.d002.s059.t006	1) with considerable certainty; without much doubt.The sentence suggests that the outcome of increasing expenditures on education is uncertain and the
senseval2.d002.s059.t007	3) make or cause to be or to become
senseval2.d002.s059.t008	9) any attribute or quality considered as having its own existenceIn this context, "things" refers to the outcomes or
senseval2.d002.s059.t009	1) (comparative of `bad') inferior to another in quality or condition or desirability.This definition of
senseval2.d002.s059.t010	1) (comparative of `good') superior to another (of the same class or set or kind) in excellence
senseval2.d002.s060.t000	1) a rational motive for a belief or action.This definition best captures the meaning of "reason" as the underlying cause
senseval2.d002.s060.t001	2) easy and not involved or complicated.The sentence implies that the reason for something is straightforward and uncomplicated, which align
senseval2.d002.s060.t002	1) the activities of educating or instructing; activities that impart knowledge or skill
senseval2.d002.s060.t005	4) the effect of one thing (or person) on another.In this sentence, "influence" refers to the
senseval2.d002.s060.t006	1) the most common medium of exchange; functions as legal tender
senseval2.d002.s061.t000	1) a period of 10 yearsThis definition is more suitable to describe the meaning of "decades" in the
senseval2.d002.s061.t001	1) relating to the process of education
senseval2.d002.s061.t003	3) narrate or give a detailed account of
senseval2.d002.s061.t005	2) in spite of; notwithstandingThe word "even" is used here to indicate that despite the fact that smaller classes
senseval2.d002.s061.t007	2) a body of students who are taught together.
senseval2.d002.s061.t008	1) a phenomenon that follows and is caused by some previous phenomenon.This definition is the most suitable to identify the meaning of
senseval2.d002.s061.t009	3) marked by a narrow focus on or display of learning especially its trivial aspects.This definition fits the context of the sentence
senseval2.d002.s061.t010	3) the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it.
senseval2.d002.s061.t011	1) a learner who is enrolled in an educational institution
senseval2.d002.s061.t013	1) worth having or seeking or achievingIn the given sentence, "desirable" means something that is considered good or
senseval2.d002.s061.t014	1) not the same one or ones already mentioned or implied; - the White QueenIn this sentence, "other"
senseval2.d002.s061.t015	5) a justification for something existing or happening.In the given sentence, "reasons" refers to the underlying justification or
senseval2.d002.s062.t000	1) not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
senseval2.d002.s062.t001	1) the most common medium of exchange; functions as legal tender
senseval2.d002.s062.t002	1) move or progress freely as if in a stream
senseval2.d002.s062.t007	3) place or lay as if in a pile.The sentence implies that the administrative structure is accumulating or adding more paperwork on
senseval2.d002.s062.t008	1) (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or
senseval2.d002.s062.t009	1) (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or
senseval2.d002.s062.t011	1) a person whose occupation is teaching
senseval2.d002.s063.t000	1) something that baffles understanding and cannot be explained
senseval2.d002.s063.t002	2) a statement or assertion of verified information about something that is the case or has happened.This definition best fits the sentence
senseval2.d002.s063.t003	1) relating to the process of educationThis definition is more comprehensive and accurately captures the meaning of "educational" in
senseval2.d002.s063.t004	1) money paid out; an amount spentThis definition best matches the context of the sentence, as "expenditures
senseval2.d002.s063.t005	6) of, relating to, or representing an amount that is corrected for inflation.In this sentence, "real" refers
senseval2.d002.s063.t006	1) become bigger or greater in amount.This definition accurately describes the meaning of "increased" in the given sentence,
senseval2.d002.s063.t007	4) very suddenly and to a great degree.This definition captures the meaning of "sharply" as indicating a sudden
senseval2.d002.s063.t008	1) earlier than the present time; no longer current.In the sentence, "past" is used to indicate a time
senseval2.d002.s063.t009	4) at the present moment
senseval2.d002.s063.t010	2) pay outThe sentence indicates that there has been an increase in the amount of money spent on educational expenditures, so
senseval2.d002.s063.t011	2) comparative of much; to a greater degree or extent.This definition is the most suitable because "more" is used
senseval2.d002.s063.t012	1) a learner who is enrolled in an educational institution.
senseval2.d002.s063.t013	1) not the same one or ones already mentioned or implied; - the White QueenIn the sentence, "other"
senseval2.d002.s063.t014	1) a politically organized body of people under a single government.This definition most accurately identifies the meaning of "country" in
senseval2.d002.s063.t015	1) relating to the process of education
senseval2.d002.s063.t016	3) the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it.This definition best captures
senseval2.d002.s063.t017	5) go downThis definition best matches the meaning of "declined" in the given sentence, as it indicates a
senseval2.d002.s064.t000	10) doing as one pleases or chooses.In this context, "that is the way" is an idiomatic expression
senseval2.d002.s065.t000	1) a learner who is enrolled in an educational institution.
senseval2.d002.s065.t001	1) relating to the process of education.
senseval2.d002.s065.t002	1) associated with academia or an academy.This definition best captures the meaning of "academic" as it refers to education,
senseval2.d002.s065.t003	1) the inherent capacity for coming into beingThis definition is the most suitable for the context of the sentence, as it
senseval2.d002.s065.t004	5) make a possibility or provide opportunity for; permit to be attainable or cause to remainIn the context of the
senseval2.d002.s066.t000	1) a learner who is enrolled in an educational institution.
senseval2.d002.s066.t001	2) make it possible through a specific action or lack of action for something to happen.In this sentence, "permitted
senseval2.d002.s066.t002	1) receive an academic degree upon completion of one's studies
senseval2.d002.s066.t004	1) be or become completely proficient or skilled in.
senseval2.d002.s066.t005	3) a specific identifiable position in a continuum or series or especially in a process.In this sentence, "level" refers
senseval2.d002.s066.t006	2) be valid, applicable, or true.In this context, "prevailed" means that the standards for mastering the
senseval2.d002.s066.t007	1) a period of time containing 365 (or 366) days
senseval2.d002.s067.t000	4) have in mind as a purpose.This definition fits the context of the sentence, as "means" is used to
senseval2.d002.s067.t001	1) most important elementIn the given sentence, "main" is used to indicate that the purpose of the program is
senseval2.d002.s067.t002	1) an anticipated outcome that is intended or that guides your planned actions.This definition fits the context of the sentence, where
senseval2.d002.s067.t004	2) make it possible through a specific action or lack of action for something to happen.This definition best fits the context of
senseval2.d002.s067.t007	1) grow vigorously
senseval2.d002.s067.t008	3) clear to the mind; with distinct mental discernment.This definition best fits the context of the sentence, where "
senseval2.d002.s067.t009	1) worth having or seeking or achieving
senseval2.d002.s067.t010	2) comparative of little.This definition is more suitable because "less" is used to compare two things, and in the
senseval2.d002.s067.t012	Among the given definitions, the most suitable one for the word "get" in the sentence is:11) succeed in catching
senseval2.d002.s067.t013	1) absolutely essentialThe sentence implies that the purpose of the program is not just to help the gifted, but to ensure
senseval2.d002.s067.t014	2) applying the mind to learning and understanding a subject (especially by reading)This definition best captures the meaning of "study
senseval2.d002.s067.t015	3) register formally as a participant or member.The sentence implies that the less gifted youngsters are being formally enrolled or registered for
senseval2.d002.s067.t017	8) all of the living human inhabitants of the earth.This definition of "world" best fits the context of the sentence
senseval2.d002.s067.t018	1) activity directed toward making or doing something
senseval2.d002.s068.t000	1) a vague idea in which some confidence is placed.This definition best captures the meaning of "notion" in the
senseval2.d002.s069.t000	1) an anticipated outcome that is intended or that guides your planned actions
senseval2.d002.s069.t001	1) the activities of educating or instructing; activities that impart knowledge or skill
senseval2.d002.s069.t002	2) inspire with confidence; give hope or courage to.This definition of "encourage" best fits the context of the
senseval2.d002.s069.t003	1) (used of living things especially persons) in an early period of life or development or growthThis definition best fits
senseval2.d002.s069.t004	3) someone who serves in the armed forces; a member of a military force.This definition is the most suitable because the
senseval2.d002.s069.t005	4) women as a classThis definition encompasses the broader meaning of the word "women", referring to a group or category
senseval2.d002.s069.t006	1) be fully aware or cognizant of.In the given sentence, "realize" means to become aware of
senseval2.d002.s069.t007	2) constituting the full quantity or extent; completeThis definition best captures the meaning of "full" in the context
senseval2.d002.s069.t008	1) associated with academia or an academy.This definition best fits the context of the sentence, as "academic" is used
senseval2.d002.s069.t009	1) the inherent capacity for coming into beingThis definition is the most suitable for the meaning of "potential" in the
senseval2.d002.s070.t000	2) used to imply that one would expect the fact to be the opposite of that stated; surprisingly
senseval2.d002.s070.t001	1) accept as true; take to be true
senseval2.d002.s070.t002	1) having the same quantity, value, or measure as another.
senseval2.d002.s070.t003	2) hypothetical or theoretical and not expected to produce an immediate or practical result.In this sentence, "academic" refers to
senseval2.d002.s070.t004	1) the inherent capacity for coming into beingThis definition aligns with the meaning of "potential" in the given sentence
senseval2.d002.s071.t000	3) without regard to specific details or exceptions.This definition captures the meaning of "generally" in the context of the
senseval2.d002.s071.t001	1) worth having or seeking or achieving
senseval2.d002.s071.t002	1) put into service; make work or employ for a particular purpose or for its inherent or natural purpose
senseval2.d002.s071.t005	2) to some (great or small) extent.The sentence implies that it's better to use older textbooks rather than newer
senseval2.d002.s071.t006	1) not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
senseval2.d002.s071.t007	2) a single person or thing.In this sentence, "ones" refers to individual items, specifically the older textbooks,
senseval2.d002.s072.t003	2) frequently or in great quantities.The word "often" means frequently or frequently occurring, so the most suitable definition is
senseval2.d002.s073.t000	1) fraught with uncertainty or doubt
senseval2.d002.s073.t001	2) of or relating to or determined by psychology.
senseval2.d002.s073.t004	2) to some (great or small) extent. The word "rather" is an adverb used to indicate a
senseval2.d002.s073.t005	1) relating to the process of education
senseval2.d002.s073.t006	1) the accumulation of knowledge or skill that results from direct participation in events or activities.This definition accurately captures the meaning of
senseval2.d002.s074.t000	5) a justification for something existing or happening.This definition best captures the meaning of "reasons" as a list of
senseval2.d002.s074.t001	1) of or relating to the United States of America or its people or language or culture
senseval2.d002.s074.t002	1) a learner who is enrolled in an educational institution
senseval2.d002.s074.t003	9) (used to introduce a logical conclusion) from that fact or reason or as a result
senseval2.d002.s074.t006	1) examine and note the similarities or differences of.This definition best captures the meaning of "compared", which means to
senseval2.d002.s074.t011	1) a learner who is enrolled in an educational institution.
senseval2.d002.s074.t012	4) the effect of one thing (or person) on another.This definition best captures the meaning of "influence"
senseval2.d002.s074.t013	1) of or relating to the United States of America or its people or language or culture.
senseval2.d002.s075.t000	1) feel or have a desire for; want strongly
senseval2.d002.s075.t001	1) recognize with gratitude; be grateful forThis definition best fits the context of the sentence, where the speaker is suggesting
senseval2.d002.s075.t002	2) indicating exactness or preciseness.In the given sentence, "just" is used to indicate exactness or precision
senseval2.d002.s075.t004	2) a condition or position in which you find yourselfThis definition best captures the meaning of "situation" in the
senseval2.d002.s075.t005	1) a learner who is enrolled in an educational institution
