senseval2.d000.s000.t000	The skillful and imaginative use of language or other media to express ideas and emotions.
senseval2.d002.s049.t011	In a short time; soon.
senseval2.d002.s049.t013	To remove or cause to disappear by washing or as if by washing.
senseval2.d002.s050.t000	To give a brief statement or account of the main points of (something).
senseval2.d002.s050.t001	To be aware of through observation, inquiry, or study; to have knowledge of; to understand.
senseval2.d002.s050.t002	The process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s050.t003	The process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s050.t004	Changes or improvements made to a system, especially a social, political, or educational system, in order to make it better.
senseval2.d002.s050.t005	To be effective or successful in producing a desired or intended result; function as required or expected.
senseval2.d002.s050.t006	To be effective or successful in producing a desired or intended result; function as required or expected.
senseval2.d002.s050.t007	Of or relating to a parent or parents.
senseval2.d002.s050.t008	The action or process of becoming involved with a person, activity, or situation.
senseval2.d002.s050.t009	Of poor quality; not good; unsatisfactory.
senseval2.d002.s050.t010	A thought or suggestion as to a possible course of action.
senseval2.d002.s051.t000	Adult male and female human beings in relation to their children, especially in terms of responsibilities for upbringing, care, and education.
senseval2.d002.s051.t001	Exceedingly; more than is desirable, permissible, or possible: "too much."
senseval2.d002.s051.t002	Having a good chance of happening, probable.
senseval2.d002.s051.t003	To regard as responsible for (something bad or wrong); censure.
senseval2.d002.s051.t004	Institutions providing education and instruction, especially for children or adolescents, typically in a building or group of buildings set aside for the
senseval2.d002.s051.t005	Of or relating to the process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s051.t006	The state or condition of being limited in extent, amount, or scope; a restriction or constraint.
senseval2.d002.s051.t007	Young human beings below the age of puberty or below the legal age of majority.
senseval2.d002.s052.t000	A mother and father in relation to a child or children.
senseval2.d002.s052.t001	Actively engaged or participating in a process or activity.
senseval2.d002.s052.t002	A young human being below the age of puberty or below the legal age of majority.
senseval2.d002.s052.t003	The process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s052.t004	A building for human habitation, especially one that is lived in by a family or small group of people.
senseval2.d002.s053.t000	To perceive with the eyes; to observe or watch.
senseval2.d002.s053.t001	A child or young person, especially one who is the son or daughter of one's own age.
senseval2.d002.s053.t002	To engage in an activity for enjoyment and recreation rather than a serious or practical purpose.
senseval2.d002.s053.t006	Young human beings below the age of puberty or below the legal age of majority.
senseval2.d002.s053.t007	To use or occupy (time, money, etc.) in a specified way.
senseval2.d002.s053.t009	The indefinite continued or measured duration during which an action, process, or condition exists or continues.
senseval2.d002.s053.t011	To examine or inspect (something) very carefully, typically in order to discover evidence of wrongdoing.
senseval2.d002.s054.t000	Adult male or female individuals in relation to their children, especially in terms of responsibilities and rights.
senseval2.d002.s054.t002	A choice or alternative from which one may choose.
senseval2.d002.s054.t003	The action of changing from one thing to another, especially from one job, activity, or subject to another.
senseval2.d002.s055.t000	A group of people living in the same place or having a particular characteristic in common.
senseval2.d002.s055.t001	The action or process of becoming involved with a person, activity, or situation.
senseval2.d002.s055.t002	Used to emphasize a statement, especially one that contrasts with what has already been said or is about to be said: "I
senseval2.d002.s055.t003	Of a bad or unpleasant situation or thing, more so than another: bad or unpleasant to a greater degree.
senseval2.d002.s055.t004	A thought or suggestion as to a possible course of action.
senseval2.d002.s056.t000	In this place or in this situation.
senseval2.d002.s057.t000	In, at, or to a place near where one lives or works; in the area or region where one lives or works
senseval2.d002.s057.t003	Used to single out one particular case or example from a group of similar cases or examples.
senseval2.d002.s057.t005	Large and densely populated urban areas that serve as the central hub for commerce, culture, and government within a region.
senseval2.d002.s057.t006	To begin to be or exist in a specified state, condition, or role.
senseval2.d002.s057.t007	Having or showing a strong desire and determination to succeed.
senseval2.d002.s057.t008	In most cases; usually.
senseval2.d002.s057.t009	Acting dishonestly or unethically in order to gain personal advantage.
senseval2.d002.s057.t012	Of or relating to a particular area, especially as distinct from a wider or national area.
senseval2.d002.s057.t013	A person who is professionally involved in politics, especially as a holder of an elected office.
senseval2.d002.s057.t015	A person who is professionally involved in politics, especially as a holder of an elected office.
senseval2.d002.s058.t000	A series of actions or steps taken in order to achieve a particular end.
senseval2.d002.s058.t001	Making an effort to accomplish or achieve something.
senseval2.d002.s058.t002	A set of principles or procedures according to which something is done; a method or arrangement.
senseval2.d002.s058.t003	An institution for educating children or young people, typically providing formal instruction from kindergarten through the 12th grade.
senseval2.d002.s058.t004	The action or manner of governing a state, organization, or people.
senseval2.d002.s058.t005	Used to introduce a statement that contrasts with or seems to contradict something that has been said previously.
senseval2.d002.s058.t006	In addition to the ones already mentioned or previously considered; another.
senseval2.d002.s058.t007	Large and permanently inhabited human settlements.
senseval2.d002.s058.t008	To establish or introduce (a system, practice, or measure) formally and officially.
senseval2.d002.s059.t000	The greater part or number; the majority of.
senseval2.d002.s059.t002	The action of spending funds; the act of paying out money to cover a cost.
senseval2.d002.s059.t003	The process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s059.t005	A set of conditions or factors that are relevant to a particular event, situation, or decision.
senseval2.d002.s059.t006	Likely to be the case; likely to happen; expected to occur.
senseval2.d002.s059.t007	To cause (something) to happen, exist, or be the case.
senseval2.d002.s059.t008	Matters, situations, or circumstances, especially those that are difficult or unpleasant.
senseval2.d002.s059.t009	Of a situation or condition: more serious or unpleasant than before or than another specified situation or condition.
senseval2.d002.s059.t010	Of a more satisfactory or advantageous condition, quality, or degree.
senseval2.d002.s060.t000	A cause, explanation, or justification for an action or event.
senseval2.d002.s060.t001	Easily understood or explained; not complicated or involved.
senseval2.d002.s060.t002	The process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s060.t005	The capacity to have an effect on the character, development, or behavior of someone or something, or the effect itself.
senseval2.d002.s060.t006	A medium of exchange in the form of coins and banknotes, especially when issued by a government and used as a legal tender
senseval2.d002.s061.t000	A period of ten years.
senseval2.d002.s061.t001	Of or relating to the process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s061.t003	To inform or make someone aware of something, typically by speaking or writing.
senseval2.d002.s061.t005	Used to emphasize the word that follows, especially when the word is surprising or unexpected.
senseval2.d002.s061.t007	A group of students who are taught together, especially in a school.
senseval2.d002.s061.t008	In this context, "effect" means a change which is a result or consequence of an action or other cause.
senseval2.d002.s061.t009	Of or relating to schools, colleges, or universities, or to the subjects taught in them.
senseval2.d002.s061.t010	The action or process of carrying out or accomplishing an action, task, or function, especially to a standard expected or desired
senseval2.d002.s061.t011	Students in a school, especially younger children.
senseval2.d002.s061.t013	Worth having or seeking; appealing or attractive.
senseval2.d002.s061.t014	Besides or in addition to the one already mentioned or implied.
senseval2.d002.s061.t015	A cause, explanation, or justification for an action or event.
senseval2.d002.s062.t000	Recently come into existence or use; not old or established.
senseval2.d002.s062.t001	A medium of exchange in the form of coins and banknotes, especially when issued by a government and used as a legal tender
senseval2.d002.s062.t002	To move or be moved steadily and continuously in a current or stream.
senseval2.d002.s062.t007	To accumulate or heap up (something) in a disorganized or untidy manner.
senseval2.d002.s062.t008	Added to an already large amount; additional.
senseval2.d002.s062.t009	Added to an already large amount; additional.
senseval2.d002.s062.t011	Individuals who are professionally engaged in educating students in a school, college, or university.
senseval2.d002.s063.t000	Something that is difficult or impossible to understand or explain.
senseval2.d002.s063.t002	Something that is known or proved to be true; a truth established by experience or demonstration.
senseval2.d002.s063.t003	Of or relating to the process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s063.t004	The action of spending funds; the act of paying out money to cover a cost or to buy goods and services.
senseval2.d002.s063.t005	Of something that actually exists: not imaginary or unreal.
senseval2.d002.s063.t006	To become greater in size, amount, intensity, or degree.
senseval2.d002.s063.t007	In a sudden, forceful, or marked way; abruptly or to a great degree.
senseval2.d002.s063.t008	A period of time before the present or before a specified point in time.
senseval2.d002.s063.t009	At the present time; at this moment.
senseval2.d002.s063.t010	To use money to buy or pay for something.
senseval2.d002.s063.t011	Of a greater amount, degree, or extent; additional or extra.
senseval2.d002.s063.t012	A student in a school or college.
senseval2.d002.s063.t013	In or from a different place, kind, or class; another: a different opinion; a different kind of person.
senseval2.d002.s063.t014	A nation considered as an organized community under one government.
senseval2.d002.s063.t015	Of or relating to the process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s063.t016	The action or process of carrying out or accomplishing an action, task, or function, especially to a standard that fulfills
senseval2.d002.s063.t017	To have decreased in size, amount, quality, or strength.
senseval2.d002.s064.t000	A method, style, or manner of doing something.
senseval2.d002.s065.t000	Individuals who are enrolled in an educational institution and are engaged in learning, typically ranging from primary to tertiary levels of education.
senseval2.d002.s065.t001	Of or relating to the process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s065.t002	Of or relating to education or schools, especially in a scholarly or theoretical way.
senseval2.d002.s065.t003	The inherent capacity to develop, achieve, or become something in the future.
senseval2.d002.s065.t004	To permit or make possible.
senseval2.d002.s066.t000	A person who is studying at a school or college.
senseval2.d002.s066.t001	Allowed or given official consent to do something.
senseval2.d002.s066.t002	To confer a degree or diploma upon a student at the end of a course of study.
senseval2.d002.s066.t004	To have learned (a skill or subject) to a high or thorough degree; to have acquired complete command or proficiency in.
senseval2.d002.s066.t005	The standard or degree of quality or attainment; a point on a scale or range of values.
senseval2.d002.s066.t006	Widely accepted or practiced; dominant or prevailing.
senseval2.d002.s066.t007	A period of 365 days, reckoned from one New Year's Day to the next, or a portion of such a
senseval2.d002.s067.t000	A method, way, or manner of doing something; a procedure or process.
senseval2.d002.s067.t001	Of the most important; primary; chief.
senseval2.d002.s067.t002	The reason for which something is done or created or for which something exists.
senseval2.d002.s067.t004	To allow or make it possible for someone to do something.
senseval2.d002.s067.t007	To grow or develop in a healthy or vigorous way, especially as the result of a particularly favorable environment.
senseval2.d002.s067.t008	In a way that is obvious or easy to understand; without any doubt.
senseval2.d002.s067.t009	Worth wishing for or seeking; appealing; pleasing; attractive; commendable.
senseval2.d002.s067.t010	Of a quantity or degree that is not as much as something else; not as many or as much as.
senseval2.d002.s067.t012	To obtain or receive something: "They got a new car for their wedding."
senseval2.d002.s067.t013	Required to be present or done; needed: a necessary condition for success.
senseval2.d002.s067.t014	The action or process of applying oneself to acquire knowledge of a subject, typically by reading books or attending lectures.
senseval2.d002.s067.t015	To go or come into (a place, situation, or state).
senseval2.d002.s067.t017	The earth, together with all of its countries, peoples, and natural features, regarded as a whole.
senseval2.d002.s067.t018	Activity involving mental or physical effort done in order to achieve a purpose or result, typically done for payment.
senseval2.d002.s068.t000	An idea or belief about something, especially one that is not based on fact or knowledge.
senseval2.d002.s069.t000	The reason for which something is done or created or for which something exists.
senseval2.d002.s069.t001	The process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s069.t002	To give support, confidence, or hope to; inspire with courage or enthusiasm.
senseval2.d002.s069.t003	In relation to age, being in the early stage of life or development; not old.
senseval2.d002.s069.t004	Adult human males.
senseval2.d002.s069.t005	An adult human female.
senseval2.d002.s069.t006	To become fully aware of something as a fact; to make something happen or be the case.
senseval2.d002.s069.t007	Complete in extent, amount, or degree: all that is possible or available.
senseval2.d002.s069.t008	Of or relating to education in a school, college, or university, especially as a subject of study or research.
senseval2.d002.s069.t009	The inherent qualities or abilities that may be developed and lead to success or achievement.
senseval2.d002.s070.t000	In fact; in reality.
senseval2.d002.s070.t001	To accept as true, to have confidence in the truth, validity, or reliability of something.
senseval2.d002.s070.t002	Being the same in quantity, size, degree, or value; not greater or less; the same.
senseval2.d002.s070.t003	Of or relating to education or schools, especially the study of a particular subject or discipline.
senseval2.d002.s070.t004	The capacity to develop into something in the future, especially something valuable or desirable.
senseval2.d002.s071.t000	In most cases; usually; as a rule.
senseval2.d002.s071.t001	Worth doing or having; appealing; pleasing; agreeable; inviting; invitingly situated; invitingly placed; invitingly
senseval2.d002.s071.t002	To employ for some purpose; put into service: use a machine.
senseval2.d002.s071.t005	Used to introduce a statement that contrasts with or seems to contradict something that has been said previously.
senseval2.d002.s071.t006	More recent in time or date; not old; modern.
senseval2.d002.s071.t007	Used to refer to people or things that have just been mentioned or are understood from the context.
senseval2.d002.s072.t003	At all times; on most occasions; usually.
senseval2.d002.s073.t000	Causing doubt or uncertainty; questionable.
senseval2.d002.s073.t001	Relating to the mind, mental processes, or behavior.
senseval2.d002.s073.t004	Used to introduce a statement that contrasts with or seems to contradict something that has been said previously.
senseval2.d002.s073.t005	Of or relating to the process of receiving or giving systematic instruction, especially at a school or university.
senseval2.d002.s073.t006	The knowledge or skill acquired by a period of practical exposure to something; the process of gaining this knowledge or skill through direct involvement
senseval2.d002.s074.t000	Causes, explanations, or justifications for an action or event.
senseval2.d002.s074.t001	Of or relating to the United States of America or its inhabitants.
senseval2.d002.s074.t002	Individuals who are enrolled in an educational institution and are learning or studying, typically from childhood through adolescence.
senseval2.d002.s074.t003	To such a great extent or degree; very.
senseval2.d002.s074.t006	To estimate, measure, or consider (something) in relation to something else, typically to judge which is greater, better,
senseval2.d002.s074.t011	Individuals who are enrolled in an educational institution and are learning or studying, typically from childhood through adolescence.
senseval2.d002.s074.t012	The capacity to have an effect on the character, development, or behavior of someone or something, or the effect itself.
senseval2.d002.s074.t013	Of or relating to the United States of America or its inhabitants.
senseval2.d002.s075.t000	Desire to have or do something.
senseval2.d002.s075.t001	To recognize the full worth, significance, or quality of; understand and enjoy the true nature of.
senseval2.d002.s075.t002	Used for emphasis: exactly, precisely.
senseval2.d002.s075.t004	A set of circumstances in which one finds oneself, especially one that is challenging or difficult.
senseval2.d002.s075.t005	Individuals who are enrolled in a school or college, especially as minors, and are engaged in learning under the guidance of a
senseval2.d002.s075.t006	To combine (two or more numbers or amounts) to get a total amount.
senseval2.d002.s075.t007	To take away (a number or amount) from another in an arithmetic operation.
senseval2.d002.s075.t008	The acquisition of knowledge or skills through study, experience, or being taught.
senseval2.d002.s075.t010	The underlying support or foundation for an idea, argument, or process.
senseval2.d002.s075.t011	Of or relating to mathematics, the abstract science of number, quantity, and space, either as abstract concepts (pure mathematics)
senseval2.d002.s075.t013	To look at and comprehend the meaning of (written or printed matter) by interpreting the characters or symbols of which it is composed
senseval2.d002.s075.t014	A written composition published in a newspaper, magazine, or other periodical.
senseval2.d002.s075.t015	Happening or done not long ago; modern.
senseval2.d002.s075.t017	A field of study pursued by a student at a college or university, typically culminating in a degree.
senseval2.d002.s076.t000	The greatest in amount, degree, or extent; the highest.
senseval2.d002.s076.t001	Of great significance or value; very important.
senseval2.d002.s076.t002	Institutions providing education and instruction, typically for children or adolescents, and including pre-school, primary, and secondary levels.
senseval2.d002.s076.t003	The heads of schools or colleges, especially in the United States.
senseval2.d002.s076.t004	Of considerable or relatively great size, amount, or extent.
senseval2.d002.s076.t005	A quantity, extent, or degree regarded as a unit or standard for comparison or calculation.
senseval2.d002.s076.t006	The power or right to give orders, make decisions, and enforce obedience.
senseval2.d002.s076.t007	The body of teachers in a school or university.
senseval2.d002.s076.t009	Issues, subjects, or things to be dealt with or considered.
senseval2.d002.s076.t010	A person who is enrolled in a school or college, especially a young person who is not yet an adult.
senseval2.d002.s077.t000	A systematic investigation and detailed examination of materials and sources in order to establish facts and reach new conclusions.
senseval2.d002.s077.t001	A systematic investigation and detailed examination of materials and sources in order to establish facts and reach new conclusions.
senseval2.d002.s077.t002	Of all others in number, degree, or quality; highest in rank or position.
senseval2.d002.s077.t004	To communicate information, facts, or news to someone.
senseval2.d002.s077.t005	Of the highest quality; excellent; most suitable or effective for a particular purpose.
senseval2.d002.s077.t006	An institution for educating children or young people, typically providing formal instruction from kindergarten through to the 12th grade.
senseval2.d002.s077.t007	Not within or forming part of the inside of a particular place, thing, or group.
senseval2.d002.s077.t008	Intervention or involvement in a situation where one is not wanted or needed, especially in order to change or prevent a course of
senseval2.d002.s077.t009	To be ruled, controlled, or directed; to be under the authority or management of.
senseval2.d002.s077.t010	Possessing great power or influence; commanding respect or attention.
senseval2.d002.s077.t011	The person in charge of an organization, institution, or group, especially a school or college.
senseval2.d002.s078.t000	The power or right to give orders, make decisions, and enforce obedience.
senseval2.d002.s078.t002	To be accompanied by or to be associated with something else.
senseval2.d002.s078.t003	Not open to more than one interpretation; having one obvious meaning.
senseval2.d002.s079.t000	An institution for educating children or young people, typically providing formal instruction from kindergarten through the 12th grade.
senseval2.d002.s079.t002	A method, style, or manner of doing something.
senseval2.d002.s079.t003	To make or manufacture (something) by a particular process or in a particular way.
senseval2.d002.s079.t004	Individuals who are enrolled in a school or college, especially those who are younger than college age.
senseval2.d002.s079.t005	Of more than average height, level, or degree; greater in amount, extent, or intensity.
senseval2.d002.s079.t006	The confidence, enthusiasm, and discipline of a person or group at a particular time.
senseval2.d002.s079.t007	Of higher quality or value than others of a similar kind; better.
senseval2.d002.s079.t008	Of or relating to education or schools, especially the study of a particular subject or discipline.
senseval2.d002.s079.t009	The action or process of carrying out or accomplishing an action, task, or function, especially to a standard that fulfills
senseval2.d002.s080.t000	A thing that is known or proved to be true based on objective evidence.
senseval2.d002.s080.t001	To disturb or upset (someone), especially by causing them to feel annoyed or angry.
senseval2.d002.s080.t002	A thing that is known or proved to be true based on objective evidence.
senseval2.d002.s080.t004	A person; a human being; used in a general sense.
senseval2.d002.s080.t005	Used to introduce a clause or phrase expressing a purpose or result: "I went to the store so I could buy some milk
senseval2.d002.s081.t000	To produce and issue (a book, newspaper, magazine, etc.) for sale or distribution.
senseval3.d000.s000.t000	An adult human male.
senseval3.d000.s001.t002	Having or causing blurred vision, especially as a result of fatigue or intoxication.
senseval3.d000.s001.t003	The organs of sight in humans and animals, located in the head and protected by eyelids and eyelashes.
senseval3.d000.s002.t000	To possess, own, or hold (something).
senseval3.d000.s002.t001	Available for immediate use; prepared or able to act or speak promptly and effectively.
senseval3.d000.s002.t002	A response or solution to a question, problem, or situation.
senseval3.d000.s002.t004	A sudden, unexpected event or piece of information that causes astonishment or amazement.
senseval3.d000.s002.t005	A sudden, uncontrollable occurrence or attack of a particular action or condition, especially one that is painful or unpleasant.
senseval3.d000.s003.t000	An adult human male.
senseval3.d000.s003.t001	Inebriated; intoxicated by alcohol.
senseval3.d000.s003.t002	Of unsound mind; insane; mentally deranged.
senseval3.d000.s004.t002	To compete with (someone) in an activity, especially a drinking contest, by doing the same thing as they do.
senseval3.d000.s004.t003	A small quantity of a liquid, typically alcohol, consumed in one mouthful.
senseval3.d000.s004.t004	A small quantity of a liquid, typically alcohol, consumed in one mouthful.
senseval3.d000.s004.t005	Past participle of lose: fail to keep or retain; misplace or be deprived of.
senseval3.d000.s004.t006	The total number of items in a set or the result of adding numbers together.
senseval3.d000.s004.t007	An adult human male.
senseval3.d000.s004.t008	The organs of sight in humans and animals, located in the head and protected by the eyelids and eyelashes.
senseval3.d000.s005.t000	An ordinary man, boy, or woman; a fellow; a person.
senseval3.d000.s005.t002	A mental process involving the consideration or contemplation of an idea, situation, or problem.
senseval3.d000.s005.t004	The organs of sight in humans and animals, located in the head and consisting of the eyeball, eyelids, eyelashes
senseval3.d000.s006.t000	The organs of sight in humans and animals, located in the head, that detect light and convert it into electro-chemical impulses
senseval3.d000.s006.t002	Shining or giving out light; luminous.
senseval3.d000.s006.t003	Differentiating from what is usual, familiar, or expected; unusual or odd.
senseval3.d000.s006.t004	The quality of being intense; great strength or force.
senseval3.d000.s006.t005	Lacking warmth in temperature or emotional expression; uninviting or unemotional.
senseval3.d000.s006.t006	Combustion in which flames are produced, or the state of being in such a condition.
senseval3.d000.s006.t007	To be consumed by fire; be on fire.
senseval3.d000.s007.t000	To become aware of (something) by using one's eyes or ears; perceive with the senses.
senseval3.d000.s008.t000	An adult human male.
senseval3.d000.s008.t001	Inebriated; intoxicated by alcohol.
senseval3.d000.s009.t000	To feel curiosity or doubt about something; to think about something with interest or concern.
senseval3.d000.s009.t001	Came to be in a specified state, condition, or situation.
senseval3.d000.s009.t003	A person whom one does not know or with whom one is not familiar.
senseval3.d000.s010.t000	Past tense of remember: to have in or be able to bring to one's mind an awareness of (someone or something from
senseval3.d000.s011.t001	A period of 60 minutes as a unit of time.
senseval3.d000.s011.t002	Continuing at a constant or uniform rate or speed; not varying or fluctuating.
senseval3.d000.s011.t003	The act of consuming a liquid, especially alcoholic beverages, in large quantities.
senseval3.d000.s011.t004	An event or situation that happens or is arranged for a particular purpose.
senseval3.d000.s012.t000	A person whom one does not know or with whom one is not familiar.
senseval3.d000.s012.t001	The upper part of the human body, from the top of the neck to the top of the skull, that contains the brain
senseval3.d000.s012.t003	The process of thinking or using one's mind to consider or reason about something.
senseval3.d000.s012.t004	Begun to do something; set out to do something.
senseval3.d000.s012.t005	To go from one side of (a road, street, or river) to the other: "The pedestrian crossed the street
senseval3.d000.s012.t006	A public road in a city, town, or village, typically with buildings on one or both sides.
senseval3.d000.s012.t007	A signal, usually a set of colored lights, indicating when it is safe to cross a road or proceed.
senseval3.d000.s012.t010	To make a loud, deep, prolonged sound, as an engine or a lion.
senseval3.d000.s012.t011	A point or area where two or more roads, streets, or paths meet and cross each other.
senseval3.d000.s013.t000	Devices for slowing or stopping a moving vehicle, typically by applying pressure to the wheels.
senseval3.d000.s013.t001	To make a loud, long, and high-pitched sound, as in pain or anger.
senseval3.d000.s013.t002	A device for producing a loud sound, typically a long, loud, and harsh sound, as a warning or signal, especially
senseval3.d000.s013.t003	To emit a loud, harsh, and prolonged sound.
senseval3.d000.s013.t004	An adult human male.
senseval3.d000.s013.t005	To strike (someone or something) with force; collide with.
senseval3.d000.s013.t006	To speak loudly or to get someone's attention by speaking loudly.
senseval3.d000.s013.t007	A unit of time equal to 1/60th of a minute or 1/3600th of an hour.
senseval3.d000.s014.t002	Have performed or carried out an action or task.
senseval3.d000.s015.t001	To feel concern or interest in; to be interested in or attach importance to.
senseval3.d000.s015.t002	An ordinary man, fellow, or person.
senseval3.d000.s015.t003	To strike or come into contact with (someone or something) with force.
senseval3.d000.s016.t000	Felt sorry or disappointed about (something that one has done or failed to do).
senseval3.d000.s016.t001	To begin to speak or express an opinion or feeling.
senseval3.d000.s016.t002	The opening in the head of a person or animal through which food and air enter the body and sound exit.
senseval3.d000.s016.t003	A large, heavy motor vehicle used for transporting goods or materials, typically with a cabin at the front and an open area at
senseval3.d000.s016.t005	To bring to a halt; cease moving.
senseval3.d000.s016.t006	Feeling or showing strong annoyance, displeasure, or hostility.
senseval3.d000.s016.t007	A person who drives a vehicle, especially as a job.
senseval3.d000.s016.t008	To propel oneself rapidly upward or through the air by using the muscles in one's legs and feet.
senseval3.d000.s016.t009	The driver's compartment of a truck, bus, or taxi.
senseval3.d000.s016.t010	To move at a regular pace by lifting and setting down each foot in turn, never having both feet off the ground at once
senseval3.d000.s017.t000	A person whom one does not know or with whom one is not familiar.
senseval3.d000.s017.t003	A limb of the upper body, extending from the shoulder to the hand, used for grasping and holding things.
senseval3.d000.s017.t004	The part of the human body between the neck and the upper part of the arms, on which the arms rest and which supports
senseval3.d000.s017.t005	Of or belonging to a time long past; no longer new or recent.
senseval3.d000.s017.t006	A person whom one knows and with whom one has a bond of mutual affection, typically exclusive of sexual or family relations.
senseval3.d000.s018.t000	A person who drives a vehicle, especially as a job.
senseval3.d000.s018.t001	Begun to do something.
senseval3.d000.s018.t002	To utter an imprecation or malediction against; to invoke evil upon; to express vehement disapproval or anger towards.
senseval3.d000.s018.t003	A secret plan made by a group of people to do something unlawful or harmful.
senseval3.d000.s018.t004	To destroy or cause severe damage to something, especially something valuable or important.
senseval3.d000.s018.t006	An account or account book of financial transactions; a list of events, facts, or items in a particular order.
senseval3.d000.s019.t000	An adult human male.
senseval3.d000.s019.t001	To rescue or protect from harm or danger.
senseval3.d000.s019.t002	To change one's direction, position, or course from one place, direction, or position to another.
senseval3.d000.s019.t003	To direct one's gaze toward someone or something, especially for a period of time.
senseval3.d000.s019.t005	The front part of a person's head from the forehead to the chin, where the eyes, nose, and mouth are located
senseval3.d000.s019.t006	The act of speaking words or expressing something verbally.
senseval3.d000.s019.t007	A unit of language that carries meaning and can be spoken or written, consisting of one or more morphemes.
senseval3.d000.s020.t000	A person who drives a vehicle, especially a motor vehicle.
senseval3.d000.s020.t001	Cease to do or perform an action or activity.
senseval3.d000.s020.t002	The use of profane or obscene language, especially as an expression of strong emotion.
senseval3.d000.s020.t003	To rotate one's body or a part of the body so that the back or another part faces a different direction.
senseval3.d000.s020.t004	The back part of the foot below the ankle.
senseval3.d000.s020.t005	A large, heavy motor vehicle used for transporting goods or materials, typically with four wheels and a separate cab.
senseval3.d000.s021.t000	To present or offer (something) to someone; to hand over or provide.
senseval3.d000.s021.t002	The process of using one's mind to consider or reason about something.
senseval3.d000.s021.t003	A particular point or period in the past, present, or future regarded comparatively or relatively.
senseval3.d000.s022.t000	To remember (something) again or to bring back into one's mind.
senseval3.d000.s022.t001	To feel curiosity or doubt about something; to be puzzled or perplexed about something.
senseval3.d000.s022.t002	Perceived with the eyes; observed or noticed.
senseval3.d000.s022.t003	The organs of sight in humans and animals, located in the head, that detect light and convert it into electro-chemical impulses
senseval3.d000.s022.t004	Cause (someone) to do something or to be in a particular state.
senseval3.d000.s023.t000	A kind, type, or variety of something.
senseval3.d000.s023.t001	The expression or appearance of a person or thing, typically as an indication of a particular quality or state.
senseval3.d000.s023.t003	To attempt to deceive or mislead someone by making a threat or by pretending to have a stronger position than one actually does.
senseval3.d000.s023.t004	The act or process of uttering words or sounds; speech.
senseval3.d000.s023.t005	A unit of language that carries meaning and can be spoken or written, consisting of one or more morphemes.
senseval3.d000.s024.t000	A natural agent that stimulates sight and makes things visible, consisting chiefly of sunlight and starlight: the light of day.
senseval3.d000.s024.t002	A method, style, or manner of doing something; a particular course or direction taken or to be taken in action, conduct
senseval3.d000.s024.t003	Proceed or continue in a course of action or in a journey.
senseval3.d000.s024.t004	A public road in a city or town, typically with buildings on one or both sides.
senseval3.d000.s025.t000	A person whom one does not know or with whom one is not familiar.
senseval3.d000.s025.t001	To discover or learn something, especially something that was not known before.
senseval3.d000.s025.t003	Regarded with special pleasure, affection, or interest; preferred above others of the same kind.
senseval3.d000.s025.t004	An establishment that sells alcoholic beverages, especially one that also serves food and has a casual, social atmosphere.
senseval3.d000.s025.t005	Demand something forcefully, not accepting refusal.
senseval3.d000.s025.t006	The action of presenting something for acceptance or rejection, or the thing presented in such a way.
senseval3.d000.s025.t007	To acquire something in exchange for payment.
senseval3.d000.s025.t008	Beverages, especially alcoholic ones, served in bars or restaurants.
senseval3.d000.s026.t000	To proceed on a course of action or to move from one place to another.
senseval3.d000.s026.t001	To remain solitary or not engage in social interaction with others.
senseval3.d000.s026.t002	The action of being in a seated position, typically with one's weight supported by one's buttocks rather than one's feet
senseval3.d000.s026.t003	A point or area where two converging lines or surfaces meet, typically forming a right angle.
senseval3.d000.s026.t004	Spending or using (time) in a particular way.
senseval3.d000.s026.t005	The indefinite continued progress of existence and events in the past, present, and future regarded as a whole.
senseval3.d000.s026.t006	To care for or tend to (a person, animal, or plant) in order to maintain or restore health.
senseval3.d000.s026.t007	Most loved or preferred of its kind; best liked.
senseval3.d000.s027.t000	To have made a choice or reached a conclusion after consideration.
senseval3.d000.s027.t001	To be bothered by; to find disagreeable or objectionable.
senseval3.d000.s027.t002	The state or fact of being with another or others; the people one keeps as friends or associates; companionship.
senseval3.d000.s027.t004	Given and received without payment; at no cost.
senseval3.d000.s027.t005	Beverages, especially alcoholic ones, served in social settings.
senseval3.d000.s027.t006	To earn or receive (money) as a result of one's work or activities.
senseval3.d000.s027.t007	Of high quality; superior; excellent.
senseval3.d000.s027.t009	An occupation or profession, especially one that involves regular employment.
senseval3.d000.s029.t000	To feel or think doubtfully or question; be in a state of uncertainty or curiosity about something.
senseval3.d000.s029.t001	To possess, own, or hold something.
senseval3.d000.s029.t002	A person who is eccentric or behaves in an odd or unpredictable manner.
senseval3.d000.s030.t000	To accept or receive (something offered or given); to consider or regard in a specified way.
